Sampling frequency: 100Hz 
timestamp pitch roll yaw 
1592726093969 0.31221280046270783 -0.11524152275804725 -1.7882397851595013 
1592726093979 0.31002325478750226 -0.11746344160304388 -1.7891681249839808 
1592726093989 0.3078855374407641 -0.11939430115028202 -1.7900728144815936 
1592726093999 0.30580625127700983 -0.12093589845250464 -1.7908857307158377 
1592726094009 0.3039000187413319 -0.12213949118267331 -1.7915273413770492 
1592726094019 0.3022580090126805 -0.12310902130545762 -1.7920510183430662 
1592726094028 0.30088525769092994 -0.12420713645047614 -1.7925434963764677 
1592726094039 0.2996431114954788 -0.12586312971823307 -1.7931263182076709 
1592726094049 0.298508294855803 -0.12822221049858648 -1.7939355941329977 
1592726094059 0.2976808070771895 -0.13090501837752003 -1.794633556353376 
1592726094069 0.29705670095637343 -0.13342463457886308 -1.795156305986905 
1592726094078 0.29636441054663454 -0.13558514379398603 -1.79575632086364 
1592726094089 0.2955044751258177 -0.13748799108321816 -1.7965106839540776 
1592726094099 0.2945709997033794 -0.1394028111242844 -1.7973870083986603 
1592726094109 0.2937125682673125 -0.14150053616112374 -1.7981908766975965 
1592726094119 0.29308005577959073 -0.14359734185882514 -1.7987113429070767 
1592726094128 0.2925624200183712 -0.14535259903119896 -1.7991251092090808 
1592726094139 0.2919904699657839 -0.14674552486130077 -1.7996916187807526 
1592726094149 0.29127842461413295 -0.14808453039075056 -1.8004643506488682 
1592726094159 0.2904404236181188 -0.1496742066519192 -1.8013545020191617 
1592726094168 0.290009215511716 -0.15059710955595337 -1.8018201977828112 
1592726094178 0.28884171662406755 -0.15412853124484216 -1.8031011286669845 
1592726094189 0.28828604677421943 -0.1570738300998774 -1.8037963969633393 
1592726094199 0.28794521259835204 -0.16014942413962452 -1.8043773869940052 
1592726094209 0.2877608061734139 -0.16298524149681937 -1.8049200397555833 
1592726094219 0.28757916091033064 -0.16535751959931752 -1.8054587954439494 
1592726094228 0.28719847720614017 -0.16713299041944196 -1.8061021529110923 
1592726094239 0.28658238333749647 -0.1685340215771589 -1.8069077769966626 
1592726094249 0.28578500639954746 -0.16972901634717066 -1.8078604411024373 
1592726094259 0.28476059605248605 -0.17086687600729242 -1.808999557211172 
1592726094269 0.28338294723694546 -0.1722374905368973 -1.8103186473659199 
